Price,Close,High,Low,Open,Volume,Daily_Return,MA_7,MA_30,Volatility_7,Volatility_30
Ticker,ZS=F,ZS=F,ZS=F,ZS=F,ZS=F,,,,,
Date,,,,,,,,,,
2024-08-13,989.0,1003.0,989.0,1003.0,19,-2.2727272727272707,1018.8214285714286,1085.9666666666667,1.5694190786686484,1.576180886957199
2024-08-14,979.75,989.75,979.75,989.5,15972,-0.9352881698685533,1009.6071428571429,1079.7916666666667,1.2937442995996509,1.5666036032740265
2024-08-15,951.5,961.0,950.5,951.75,15039,-2.8833886195458014,998.6071428571429,1072.2916666666667,1.490955304662701,1.5936363046910502
2024-08-16,938.75,952.5,936.25,950.5,17420,-1.3399894902785037,986.9642857142857,1063.9666666666667,1.487143570138641,1.5641588124111818
2024-08-19,956.25,957.5,938.0,938.0,15833,1.8641810918774926,979.3214285714286,1056.7,1.8830948149585502,1.6337078227917377
2024-08-20,957.25,966.25,950.75,955.25,13630,0.10457516339870132,969.2142857142857,1049.8916666666667,1.5821893633032524,1.637690484166574
2024-08-21,963.0,966.0,955.5,957.0,12788,0.6006790284669661,962.2142857142857,1043.95,1.6643081180296906,1.6386295334012817
2024-08-22,941.25,963.0,940.0,962.0,17660,-2.258566978193144,955.3928571428571,1037.2333333333333,1.6620773381296672,1.6622184135339715
2024-08-23,952.0,954.0,941.25,941.75,16814,1.1420982735723673,951.4285714285714,1031.15,1.7919023009751405,1.6932517610899567
2024-08-26,959.75,961.25,939.25,943.5,18427,0.814075630252109,952.6071428571429,1027.2083333333333,1.4484446475168746,1.491121537546419
2024-08-27,967.5,971.75,957.0,959.0,13636,0.8075019536337491,956.7142857142857,1023.1083333333333,1.304914498218958,1.4799658217927383
2024-08-28,958.5,969.5,953.5,968.25,10273,-0.9302325581395321,957.0357142857143,1018.4833333333333,1.2210763849410504,1.4706358083702984
2024-08-29,973.75,975.0,957.0,957.25,10556,1.5910276473656726,959.3928571428571,1014.325,1.3559730759942163,1.5138805874232781
2024-08-30,982.0,987.5,971.5,974.5,2055,0.8472400513478862,962.1071428571429,1010.4833333333333,1.369662061071258,1.5300060208570483
2024-09-03,997.0,1007.5,978.75,978.75,518,1.527494908350313,970.0714285714286,1006.4583333333334,0.8428648112940754,1.514089258983731
2024-09-04,1006.0,1006.0,987.5,987.5,382,0.9027081243731194,977.7857142857143,1002.7416666666667,0.8328147641029784,1.5307249352629249
2024-09-05,1008.25,1008.25,999.5,999.5,309,0.22365805168986785,984.7142857142857,999.3166666666667,0.8599299204182222,1.5333701908375588
2024-09-06,989.25,1008.0,989.25,1008.0,122,-1.8844532606000497,987.8214285714286,995.0916666666667,1.2989010214020744,1.552506230631291
2024-09-09,1000.0,1000.25,1000.0,1000.25,122,1.086681829668934,993.75,992.5083333333333,1.1933755362059268,1.462449891156305
2024-09-10,977.5,981.75,977.5,980.25,59,-2.2499999999999964,994.2857142857143,989.9333333333333,1.5100300500141697,1.4687784149564522
2024-09-11,979.75,979.75,978.25,978.25,25,0.23017902813298186,993.9642857142857,988.35,1.4743269507285806,1.4010628845907254
2024-09-12,991.5,991.5,987.5,987.5,4,1.1992855320234863,993.1785714285714,987.1166666666667,1.4210408338740603,1.4218785151162183
2024-09-13,986.75,986.75,986.75,986.75,120065,-0.47907211296016605,990.4285714285714,985.9416666666667,1.3579270669256676,1.4202241648735938
2024-09-16,1004.5,1012.0,999.0,1005.0,79098,1.7988345578920706,989.8928571428571,985.1166666666667,1.5672902750015143,1.4553173710404366
2024-09-17,1006.0,1011.0,1002.0,1003.75,80303,0.1493280238924921,992.2857142857143,983.8416666666667,1.3411506701933305,1.4272781186079522
2024-09-18,1014.0,1022.0,1006.25,1007.0,147447,0.7952286282306265,994.2857142857143,983.3583333333333,1.3150401855083875,1.4115825250579372
2024-09-19,1013.25,1018.25,1006.75,1015.0,116585,-0.07396449704142327,999.3928571428571,983.125,0.7900287017591463,1.4042249252033974
2024-09-20,1012.0,1019.0,1001.25,1012.5,128091,-0.12336540833950416,1004.0,983.2,0.8220807128992941,1.3913092802039173
2024-09-23,1039.25,1041.75,1012.0,1012.0,220319,2.6926877470355715,1010.8214285714286,983.575,1.1658258666597694,1.4391633464267473
2024-09-24,1042.25,1058.25,1032.75,1037.0,206134,0.28866971373586736,1018.75,984.5833333333334,1.0708608587517807,1.407381681980651
2024-09-25,1053.25,1054.5,1031.25,1042.0,175631,1.055408970976246,1025.7142857142858,986.725,0.9877288630712777,1.3429582371383906
2024-09-26,1041.0,1064.75,1039.75,1051.75,191090,-1.1630666983147409,1030.7142857142858,988.7666666666667,1.2063632950386043,1.3503315404643492
2024-09-27,1065.75,1069.5,1034.25,1039.75,237043,2.3775216138328448,1038.107142857143,992.575,1.4038623685321485,1.2740453593760397
2024-09-30,1057.0,1069.75,1052.0,1060.25,167653,-0.8210180623973717,1044.357142857143,996.5166666666667,1.4995872978777411,1.2531459046077977
2024-10-01,1057.25,1065.5,1045.0,1055.75,165015,0.023651844843897152,1050.8214285714287,999.8833333333333,1.4885068930285774,1.223898649364336
2024-10-02,1056.0,1063.75,1042.5,1055.0,158797,-0.11823126034523623,1053.2142857142858,1003.175,1.1906269064431179,1.226066270697536
2024-10-03,1046.0,1056.25,1041.75,1053.75,126126,-0.9469696969697017,1053.75,1005.9416666666667,1.2702285170183536,1.2468877429776375
2024-10-04,1037.75,1055.25,1036.25,1045.0,136658,-0.7887189292543062,1051.5357142857142,1009.1583333333333,1.2191420998951321,1.170068382644781
2024-10-07,1034.0,1039.0,1026.5,1033.5,170260,-0.3613587087448855,1050.5357142857142,1011.8916666666667,1.1498551409503293,1.1663870506576695
2024-10-08,1016.25,1039.5,1011.5,1032.5,215735,-1.7166344294003877,1043.4642857142858,1013.775,0.5901549434049844,1.2170210457705213
